"customer_id","first_name","last_name","total_spending","average_spending","rental_amount"
148,"Eleanor","Hunt","211.55","4.7011111111111111","45"
526,"Karl","Seal","208.58","4.9661904761904762","42"
178,"Marion","Snyder","194.61","4.9900000000000000","39"
137,"Rhonda","Kennedy","191.62","5.0426315789473684","38"
144,"Clara","Shaw","189.60","4.7400000000000000","40"
459,"Tommy","Collazo","183.63","4.9629729729729730","37"
181,"Ana","Bradley","167.67","5.0809090909090909","33"
410,"Curtis","Irby","167.62","4.4110526315789474","38"
236,"Marcia","Dean","166.61","4.2720512820512821","39"
403,"Mike","Way","162.67","4.9293939393939394","33"
