"customer_id","first_name","last_name","category_id","category_name","count"
469,"Wesley","Bull",10,"Games","9"
196,"Alma","Austin",2,"Animation","8"
526,"Karl","Seal",2,"Animation","8"
243,"Lydia","Burke",6,"Documentary","8"
38,"Martha","Gonzalez",3,"Children","7"
116,"Victoria","Gibson",8,"Family","7"
257,"Marsha","Douglas",6,"Documentary","7"
181,"Ana","Bradley",8,"Family","7"
411,"Norman","Currier",2,"Animation","7"
454,"Alex","Gresham",15,"Sports","7"
133,"Pauline","Henry",7,"Drama","7"
406,"Nathan","Runyon",2,"Animation","7"
20,"Sharon","Robinson",13,"New","7"
522,"Arnold","Havens",10,"Games","7"
441,"Mario","Cheatham",13,"New","7"
468,"Tim","Cary",2,"Animation","7"
145,"Lucille","Holmes",2,"Animation","7"
197,"Sue","Peters",5,"Comedy","7"
375,"Aaron","Selby",16,"Travel","7"
206,"Terri","Vasquez",13,"New","7"
279,"Dianne","Shelton",14,"Sci-Fi","7"
5,"Elizabeth","Brown",4,"Classics","7"
526,"Karl","Seal",8,"Family","7"
323,"Matthew","Mahan",1,"Action","7"
148,"Eleanor","Hunt",14,"Sci-Fi","7"
506,"Leslie","Seward",1,"Action","7"
380,"Russell","Brinson",9,"Foreign","6"
23,"Sarah","Lewis",14,"Sci-Fi","6"
539,"Mathew","Bolin",15,"Sports","6"
439,"Alexander","Fennell",8,"Family","6"
168,"Regina","Berry",9,"Foreign","6"
408,"Manuel","Murrell",3,"Children","6"
230,"Joy","George",14,"Sci-Fi","6"
424,"Kyle","Spurlock",7,"Drama","6"
5,"Elizabeth","Brown",2,"Animation","6"
469,"Wesley","Bull",9,"Foreign","6"
42,"Carolyn","Perez",14,"Sci-Fi","6"
269,"Cassandra","Walters",6,"Documentary","6"
314,"George","Linton",15,"Sports","6"
446,"Theodore","Culp",9,"Foreign","6"
267,"Margie","Wade",13,"New","6"
405,"Leonard","Schofield",6,"Documentary","6"
274,"Naomi","Jennings",13,"New","6"
427,"Jesus","Mccartney",6,"Documentary","6"
354,"Justin","Ngo",6,"Documentary","6"
64,"Judith","Cox",6,"Documentary","6"
579,"Daryl","Larue",15,"Sports","6"
138,"Hazel","Warren",15,"Sports","6"
215,"Jessie","Banks",9,"Foreign","6"
356,"Gerald","Fultz",9,"Foreign","6"
157,"Darlene","Rose",6,"Documentary","6"
562,"Wallace","Slone",9,"Foreign","6"
147,"Joanne","Robertson",1,"Action","6"
21,"Michelle","Clark",14,"Sci-Fi","6"
209,"Tonya","Chapman",1,"Action","6"
213,"Gina","Williamson",8,"Family","6"
125,"Ethel","Webb",6,"Documentary","6"
574,"Julian","Vest",3,"Children","6"
576,"Morris","Mccarter",13,"New","6"
550,"Guy","Brownlee",8,"Family","6"
472,"Greg","Robins",12,"Music","6"
71,"Kathy","James",12,"Music","6"
494,"Ramon","Choate",15,"Sports","6"
410,"Curtis","Irby",1,"Action","6"
481,"Herman","Devore",10,"Games","6"
343,"Douglas","Graf",8,"Family","6"
244,"Viola","Hanson",5,"Comedy","6"
